<<<<<<< HEAD
,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount,date,time,fare_amount_group,Year,Timestamp,Month
147289,2013-10-23 20:56:00,-73.979157,40.740171999999994,-73.90995699999998,40.74296500000001,1,19.5,2013-10-23,20:56:00,0 to 100,2013,1382561760,Oct
195097,2009-04-03 11:20:48,-73.98861099999998,40.761787,-73.976569,40.788037,1,11.3,2009-04-03,11:20:48,0 to 100,2009,1238757648,Apr
82450,2014-06-10 10:01:00,-74.00209,40.729827,-73.995365,40.739290000000004,1,5.5,2014-06-10,10:01:00,0 to 100,2014,1402394460,Jun
86477,2011-06-17 10:23:57,-73.97375600000002,40.755732,-73.99814,40.725173999999996,1,11.3,2011-06-17,10:23:57,0 to 100,2011,1308306237,Jun
56553,2011-08-13 13:48:00,-73.94285500000002,40.7902,-73.94830300000002,40.782757000000004,1,3.7,2011-08-13,13:48:00,0 to 100,2011,1313243280,Aug
16600,2012-12-01 15:37:00,-73.964743,40.755775,-73.965017,40.767675,6,6.5,2012-12-01,15:37:00,0 to 100,2012,1354376220,Dec
127446,2011-04-14 09:27:00,-73.982007,40.776065,-74.004548,40.742008,1,11.7,2011-04-14,09:27:00,0 to 100,2011,1302773220,Apr
34791,2012-06-06 22:00:00,-73.966797,40.714835,-74.003957,40.742807,3,16.5,2012-06-06,22:00:00,0 to 100,2012,1339020000,Jun
167113,2014-08-03 18:40:00,-73.970567,40.767607,-73.984663,40.748307000000004,5,10.0,2014-08-03,18:40:00,0 to 100,2014,1407091200,Aug
185656,2010-07-19 14:33:58,-73.969096,40.760821,-73.983215,40.75552800000001,1,7.3,2010-07-19,14:33:58,0 to 100,2010,1279550038,Jul
72113,2011-11-05 23:23:27,-74.006589,40.739431,-74.006156,40.719405,1,8.1,2011-11-05,23:23:27,0 to 100,2011,1320535407,Nov
22243,2013-01-31 12:52:50,-73.994093,40.736487,-73.99687800000002,40.74767,1,9.5,2013-01-31,12:52:50,0 to 100,2013,1359636770,Jan
38793,2010-09-02 21:21:22,-73.947338,40.805464,-73.989723,40.750945,1,14.1,2010-09-02,21:21:22,0 to 100,2010,1283462482,Sep
183376,2010-12-31 10:01:15,-73.985667,40.77831,-73.96771700000002,40.762881,1,7.3,2010-12-31,10:01:15,0 to 100,2010,1293789675,Dec
129420,2009-05-22 22:48:00,-73.96557299999998,40.80065,-73.94669499999998,40.806015,2,5.7,2009-05-22,22:48:00,0 to 100,2009,1243032480,May
112703,2010-02-22 19:48:39,-73.978337,40.74962,-73.997784,40.724996999999995,1,7.7,2010-02-22,19:48:39,0 to 100,2010,1266868119,Feb
52610,2012-10-14 19:37:00,-73.992665,40.752787,-73.986627,40.761332,2,5.0,2012-10-14,19:37:00,0 to 100,2012,1350243420,Oct
141913,2013-01-14 19:06:00,-73.976913,40.752122,-74.00125,40.736367,1,10.5,2013-01-14,19:06:00,0 to 100,2013,1358190360,Jan
9675,2011-12-19 20:32:00,-74.00324499999998,40.727763,-74.00389799999998,40.752497999999996,1,9.7,2011-12-19,20:32:00,0 to 100,2011,1324326720,Dec
78714,2014-07-15 10:32:46,-74.00145400000002,40.746462,-74.011302,40.729283,1,8.0,2014-07-15,10:32:46,0 to 100,2014,1405420366,Jul
30490,2012-10-14 11:25:00,-73.94818199999997,40.774427,-73.963702,40.771037,1,7.0,2012-10-14,11:25:00,0 to 100,2012,1350213900,Oct
156842,2011-12-16 22:46:00,-73.952667,40.783392,-73.974488,40.736803,2,11.7,2011-12-16,22:46:00,0 to 100,2011,1324075560,Dec
122200,2011-02-24 08:03:47,-73.95205899999998,40.784712,-73.976486,40.749755,1,10.9,2011-02-24,08:03:47,0 to 100,2011,1298534627,Feb
74003,2013-06-20 10:01:00,-73.974215,40.756352,-73.990073,40.740012,1,11.0,2013-06-20,10:01:00,0 to 100,2013,1371722460,Jun
130694,2009-08-31 18:53:24,-73.99001700000002,40.760667,-73.99153100000002,40.74998400000001,2,4.9,2009-08-31,18:53:24,0 to 100,2009,1251744804,Aug
39312,2014-03-30 22:07:35,-73.981838,40.775282000000004,-73.954756,40.770747,2,12.5,2014-03-30,22:07:35,0 to 100,2014,1396217255,March
1073,2009-08-14 16:29:37,-73.979028,40.740459,-73.992389,40.715148,2,8.9,2009-08-14,16:29:37,0 to 100,2009,1250267377,Aug
74391,2011-12-16 20:32:32,-73.983048,40.754325,-73.84555,40.695445,1,31.3,2011-12-16,20:32:32,0 to 100,2011,1324067552,Dec
157607,2009-08-10 10:36:00,-73.990398,40.718841999999995,-74.004915,40.728507,5,5.7,2009-08-10,10:36:00,0 to 100,2009,1249900560,Aug
112541,2009-03-05 23:36:14,-73.983333,40.738546,-73.974163,40.737099,1,4.6,2009-03-05,23:36:14,0 to 100,2009,1236296174,March
3409,2014-04-26 13:55:48,-73.98413199999997,40.754318,-73.999901,40.758666999999996,1,7.5,2014-04-26,13:55:48,0 to 100,2014,1398520548,Apr
13009,2013-03-15 14:37:53,-74.00802,40.722704,-73.961792,40.779762,1,24.5,2013-03-15,14:37:53,0 to 100,2013,1363358273,March
174089,2014-03-27 01:30:00,-73.98185699999998,40.768716999999995,-74.004262,40.742582,3,9.0,2014-03-27,01:30:00,0 to 100,2014,1395883800,March
182354,2014-03-09 10:52:26,-74.00658100000003,40.732392,-74.003147,40.755403,1,8.5,2014-03-09,10:52:26,0 to 100,2014,1394362346,March
121802,2013-02-20 18:21:00,-73.951142,40.788747,-73.95530500000002,40.782695000000004,1,4.5,2013-02-20,18:21:00,0 to 100,2013,1361384460,Feb
43824,2010-07-13 06:43:00,-73.973628,40.743742,-73.919212,40.765862,1,13.7,2010-07-13,06:43:00,0 to 100,2010,1279003380,Jul
123164,2009-10-24 11:40:32,-73.951004,40.771617,-73.966236,40.761428,1,5.7,2009-10-24,11:40:32,0 to 100,2009,1256384432,Oct
138964,2010-12-10 23:40:42,-73.994125,40.738656,-73.989366,40.74778,2,5.3,2010-12-10,23:40:42,0 to 100,2010,1292024442,Dec
48742,2009-10-29 17:02:00,-73.845345,40.741609000000004,-73.985814,40.768376,1,50.5,2009-10-29,17:02:00,0 to 100,2009,1256835720,Oct
7781,2012-12-29 13:56:00,-73.96583000000003,40.771668,-73.97391999999998,40.782965000000004,2,5.5,2012-12-29,13:56:00,0 to 100,2012,1356789360,Dec
58804,2010-04-16 03:12:00,-74.008147,40.737945,-73.972495,40.693005,2,12.5,2010-04-16,03:12:00,0 to 100,2010,1271387520,Apr
78229,2010-01-23 10:08:07,-73.961679,40.759322,-73.97022,40.763539,1,4.5,2010-01-23,10:08:07,0 to 100,2010,1264241287,Jan
197536,2011-08-23 18:18:01,-73.9822,40.76,-73.9792,40.7635,1,4.1,2011-08-23,18:18:01,0 to 100,2011,1314123481,Aug
52290,2011-12-12 15:59:00,-73.776738,40.645604999999996,-73.97353000000003,40.755688,1,49.8,2011-12-12,15:59:00,0 to 100,2011,1323705540,Dec
45474,2012-12-27 11:16:00,-73.95399300000003,40.74152,-73.95399300000003,40.74152,1,6.5,2012-12-27,11:16:00,0 to 100,2012,1356606960,Dec
71781,2012-06-28 03:52:00,-74.000047,40.714432,-73.998962,40.72140200000001,1,4.9,2012-06-28,03:52:00,0 to 100,2012,1340855520,Jun
179012,2011-03-27 23:05:27,-73.990209201869,40.741911608049996,-73.987058606987,40.760692887759994,3,6.1,2011-03-27,23:05:27,0 to 100,2011,1301267127,March
39838,2012-07-23 15:32:00,-73.953088,40.779383,-73.97059200000002,40.761527,1,9.3,2012-07-23,15:32:00,0 to 100,2012,1343057520,Jul
117185,2011-06-23 10:01:02,-73.949028,40.78168,-73.977992,40.741895,1,11.3,2011-06-23,10:01:02,0 to 100,2011,1308823262,Jun
119398,2009-03-10 19:18:00,-73.997937,40.723973,-73.95734300000002,40.729875,1,15.7,2009-03-10,19:18:00,0 to 100,2009,1236712680,March
88916,2010-07-25 00:18:00,-73.970003,40.759265,-73.99131700000002,40.744677,4,9.7,2010-07-25,00:18:00,0 to 100,2010,1280017080,Jul
120364,2012-06-01 15:15:54,-73.982225,40.776423,-73.978818,40.785082,1,4.9,2012-06-01,15:15:54,0 to 100,2012,1338563754,Jun
131918,2014-10-26 12:57:53,-73.964708,40.807217,-73.97885500000002,40.783307,3,9.0,2014-10-26,12:57:53,0 to 100,2014,1414328273,Oct
117380,2009-03-09 18:48:00,-74.005312,40.73702,-73.99661800000001,40.743952,1,4.9,2009-03-09,18:48:00,0 to 100,2009,1236624480,March
196396,2013-04-30 09:08:22,-73.96526,40.759183,-74.000638,40.71535,1,20.5,2013-04-30,09:08:22,0 to 100,2013,1367312902,Apr
117395,2011-12-09 11:58:00,-74.0072,40.728465,-73.97423,40.756387,1,13.3,2011-12-09,11:58:00,0 to 100,2011,1323431880,Dec
55462,2013-07-24 13:53:24,-73.987806,40.743312,-73.997116,40.722255,1,11.5,2013-07-24,13:53:24,0 to 100,2013,1374674004,Jul
86565,2014-12-06 13:22:00,-73.980457,40.783491999999995,-73.982262,40.775591999999996,1,5.0,2014-12-06,13:22:00,0 to 100,2014,1417872120,Dec
27174,2012-08-31 12:00:00,-73.994635,40.74616500000001,-73.994635,40.74616500000001,1,7.7,2012-08-31,12:00:00,0 to 100,2012,1346414400,Aug
135632,2013-09-30 14:54:00,-73.982102,40.772672,-73.963998,40.773662,2,8.0,2013-09-30,14:54:00,0 to 100,2013,1380552840,Sep
127516,2010-07-27 17:40:30,-74.005586,40.717782,-73.993975,40.741347999999995,1,6.5,2010-07-27,17:40:30,0 to 100,2010,1280252430,Jul
144816,2012-12-03 12:36:37,-73.97189399999998,40.794861,-73.94136,40.839449,2,15.5,2012-12-03,12:36:37,0 to 100,2012,1354538197,Dec
141066,2011-02-03 07:31:43,-73.974877,40.754670000000004,-73.97099399999998,40.761188,1,3.3,2011-02-03,07:31:43,0 to 100,2011,1296718303,Feb
156362,2012-08-10 18:52:00,-73.99394699999998,40.681587,-73.99394699999998,40.681587,1,2.9,2012-08-10,18:52:00,0 to 100,2012,1344624720,Aug
99836,2014-11-04 15:09:00,-73.985585,40.757442,-73.990957,40.750412,1,5.0,2014-11-04,15:09:00,0 to 100,2014,1415113740,Nov
86372,2014-03-27 07:30:00,-73.998428,40.722845,-73.953052,40.767621999999996,1,5.5,2014-03-27,07:30:00,0 to 100,2014,1395905400,March
38071,2012-11-10 02:45:37,-73.987604,40.729637,-74.00005,40.72076,2,7.0,2012-11-10,02:45:37,0 to 100,2012,1352515537,Nov
43729,2011-12-23 09:27:37,-73.91624300000002,40.780097,-73.911764,40.775425,1,3.7,2011-12-23,09:27:37,0 to 100,2011,1324632457,Dec
43258,2010-03-09 19:00:22,-73.97793399999998,40.788871,-73.98660600000002,40.759311,1,9.7,2010-03-09,19:00:22,0 to 100,2010,1268161222,March
114772,2014-01-09 07:24:00,-73.990238,40.756487,-73.954552,40.767132000000004,1,13.0,2014-01-09,07:24:00,0 to 100,2014,1389252240,Jan
50326,2009-08-19 16:15:00,-73.99417199999998,40.751365,-73.984613,40.745738,1,7.7,2009-08-19,16:15:00,0 to 100,2009,1250698500,Aug
125552,2014-09-17 17:44:00,-73.964062,40.792491999999996,-73.9818,40.766675,1,11.5,2014-09-17,17:44:00,0 to 100,2014,1410975840,Sep
149378,2012-10-22 19:09:00,-74.004483,40.707622,-73.976062,40.751667,1,16.0,2012-10-22,19:09:00,0 to 100,2012,1350932940,Oct
184938,2013-10-03 21:53:00,-74.006392,40.739670000000004,-73.995127,40.74985,1,7.0,2013-10-03,21:53:00,0 to 100,2013,1380837180,Oct
72350,2011-07-06 09:00:00,-73.976285,40.745002,-73.975595,40.75557,1,6.9,2011-07-06,09:00:00,0 to 100,2011,1309942800,Jul
49963,2010-05-27 22:51:08,-73.9918,40.764614,-73.95361,40.804598999999996,1,14.9,2010-05-27,22:51:08,0 to 100,2010,1275000668,May
11407,2010-09-16 17:04:32,-73.99946800000002,40.733542,-73.998115,40.721379999999996,1,7.3,2010-09-16,17:04:32,0 to 100,2010,1284656672,Sep
155746,2010-10-04 06:26:12,-73.977582,40.782856,-73.9947,40.750403999999996,1,8.5,2010-10-04,06:26:12,0 to 100,2010,1286173572,Oct
68087,2009-09-30 21:19:50,-73.982426,40.751869,-73.934718,40.745961,3,14.1,2009-09-30,21:19:50,0 to 100,2009,1254345590,Sep
106100,2009-11-13 07:42:02,0.0,0.0,0.0,0.0,1,9.3,2009-11-13,07:42:02,0 to 100,2009,1258098122,Nov
2091,2012-01-28 20:34:33,-73.981852,40.749195,-73.996365,40.732092,1,8.1,2012-01-28,20:34:33,0 to 100,2012,1327782873,Jan
125375,2011-09-12 00:32:04,-73.970791,40.751855,-73.979091,40.740519,1,4.1,2011-09-12,00:32:04,0 to 100,2011,1315787524,Sep
18759,2010-10-26 05:31:42,-73.990076,40.755757,-73.955578,40.765559,1,8.9,2010-10-26,05:31:42,0 to 100,2010,1288071102,Oct
38890,2010-05-11 22:47:32,-73.95576899999998,40.784921000000004,-73.95387099999998,40.788028999999995,1,2.9,2010-05-11,22:47:32,0 to 100,2010,1273618052,May
86756,2013-04-23 09:36:00,-73.99789,40.744997999999995,-73.992025,40.742775,1,4.5,2013-04-23,09:36:00,0 to 100,2013,1366709760,Apr
80268,2011-07-23 23:39:42,-73.99770799999997,40.751746000000004,-73.98285200000002,40.742379,1,6.1,2011-07-23,23:39:42,0 to 100,2011,1311464382,Jul
164402,2009-09-03 10:02:00,-73.97752,40.755443,-73.982793,40.731118,1,15.3,2009-09-03,10:02:00,0 to 100,2009,1251972120,Sep
6009,2013-08-17 16:34:26,-73.93340699999997,40.795225,-73.950703,40.779295,1,8.5,2013-08-17,16:34:26,0 to 100,2013,1376757266,Aug
173020,2012-11-03 18:38:00,-73.97305300000002,40.753012,-73.962142,40.759375,1,5.5,2012-11-03,18:38:00,0 to 100,2012,1351967880,Nov
160511,2012-08-27 23:38:49,-73.978021,40.783488,-73.957465,40.806293,1,6.9,2012-08-27,23:38:49,0 to 100,2012,1346110729,Aug
60714,2010-09-04 19:15:00,-73.974726,40.746564,-73.98074100000002,40.730574,5,12.9,2010-09-04,19:15:00,0 to 100,2010,1283627700,Sep
89922,2012-07-18 08:17:31,-73.970993,40.752023,-73.983625,40.767563,1,8.1,2012-07-18,08:17:31,0 to 100,2012,1342599451,Jul
129900,2011-03-18 15:26:00,-73.78822,40.641427,-74.005387,40.720298,1,49.8,2011-03-18,15:26:00,0 to 100,2011,1300461960,March
178001,2013-12-02 18:00:00,-73.981847,40.736562,-73.991155,40.733132,1,6.0,2013-12-02,18:00:00,0 to 100,2013,1386007200,Dec
186185,2009-06-27 20:55:22,-73.98890300000002,40.777853,-73.966172,40.765038,1,7.7,2009-06-27,20:55:22,0 to 100,2009,1246136122,Jun
90481,2013-01-22 10:58:00,-73.975438,40.761865,-73.992097,40.750682,1,9.0,2013-01-22,10:58:00,0 to 100,2013,1358852280,Jan
94139,2011-06-07 13:52:00,-73.98511500000002,40.744597,-73.97661,40.756315,2,5.7,2011-06-07,13:52:00,0 to 100,2011,1307454720,Jun
196142,2009-05-13 00:03:20,-74.005915,40.73992,-73.992802,40.744034,2,5.3,2009-05-13,00:03:20,0 to 100,2009,1242173000,May
129425,2012-07-06 19:35:00,-73.992628,40.753582,-73.975348,40.755007,1,8.5,2012-07-06,19:35:00,0 to 100,2012,1341603300,Jul
158660,2011-01-11 09:31:00,-73.98165999999998,40.765454999999996,-73.981927,40.746305,1,8.5,2011-01-11,09:31:00,0 to 100,2011,1294738260,Jan
1513,2013-04-11 07:21:02,-73.966012,40.762914,-73.976699,40.758995,1,6.0,2013-04-11,07:21:02,0 to 100,2013,1365664862,Apr
59962,2010-09-08 18:39:00,-73.990262,40.732168,-73.97596800000002,40.73453,1,24.5,2010-09-08,18:39:00,0 to 100,2010,1283971140,Sep
143307,2014-08-24 00:03:00,-73.872985,40.774048,-73.985477,40.763104999999996,1,36.83,2014-08-24,00:03:00,0 to 100,2014,1408838580,Aug
74031,2009-10-15 17:05:00,-73.944878,40.787317,-73.954327,40.774857,1,9.3,2009-10-15,17:05:00,0 to 100,2009,1255626300,Oct
181281,2011-08-05 21:43:25,-74.00647,40.744612,-74.00647,40.744612,2,5.7,2011-08-05,21:43:25,0 to 100,2011,1312580605,Aug
11437,2009-12-15 11:18:00,-73.99108299999997,40.746155,-73.965057,40.757902,1,9.3,2009-12-15,11:18:00,0 to 100,2009,1260875880,Dec
102581,2010-11-20 11:55:00,-73.98772,40.77047,-73.979733,40.765315,1,4.9,2010-11-20,11:55:00,0 to 100,2010,1290254100,Nov
73276,2011-09-08 22:32:13,0.0,0.0,0.0,0.0,2,15.7,2011-09-08,22:32:13,0 to 100,2011,1315521133,Sep
92829,2014-03-01 18:25:00,-73.976725,40.785187,-73.983407,40.743970000000004,5,9.0,2014-03-01,18:25:00,0 to 100,2014,1393698300,March
149883,2010-08-09 00:36:00,-74.00272,40.733557,-73.96978299999998,40.799012,1,16.1,2010-08-09,00:36:00,0 to 100,2010,1281314160,Aug
131894,2010-04-08 08:38:17,-74.016536,40.709539,-74.00838,40.731091,1,6.1,2010-04-08,08:38:17,0 to 100,2010,1270715897,Apr
105059,2012-08-22 09:41:40,-73.94563199999997,40.807936,-73.968182,40.79215900000001,1,7.7,2012-08-22,09:41:40,0 to 100,2012,1345628500,Aug
35743,2009-11-15 21:02:05,-73.9767,40.763856,-73.98524599999998,40.738223,2,7.3,2009-11-15,21:02:05,0 to 100,2009,1258318925,Nov
72248,2012-07-25 09:07:17,-73.960157,40.775304999999996,-73.974828,40.758484,1,8.5,2012-07-25,09:07:17,0 to 100,2012,1343207237,Jul
133815,2012-05-22 11:25:52,-73.979775,40.745591999999995,-74.01567,40.711506,1,15.3,2012-05-22,11:25:52,0 to 100,2012,1337685952,May
123748,2012-06-30 08:55:00,-73.980065,40.765390000000004,-73.979977,40.752871999999996,1,5.3,2012-06-30,08:55:00,0 to 100,2012,1341046500,Jun
37476,2014-05-09 15:19:52,-74.014375,40.704448,-74.005512,40.716765,1,10.0,2014-05-09,15:19:52,0 to 100,2014,1399648792,May
51085,2009-12-30 09:07:22,-73.984736,40.767392,-73.965919,40.758825,1,2.5,2009-12-30,09:07:22,0 to 100,2009,1262164042,Dec
133103,2014-11-05 20:23:00,-73.96494,40.77252,-73.94976,40.78434,1,6.5,2014-11-05,20:23:00,0 to 100,2014,1415218980,Nov
94018,2010-02-19 01:05:37,-74.006305,40.733501000000004,-74.000334,40.728790000000004,3,4.1,2010-02-19,01:05:37,0 to 100,2010,1266541537,Feb
60030,2009-03-26 09:25:00,-73.9807,40.765372,-73.993787,40.727457,2,11.7,2009-03-26,09:25:00,0 to 100,2009,1238059500,March
174068,2013-03-08 23:07:34,-73.96849399999998,40.752782,-73.96758299999998,40.759163,1,5.0,2013-03-08,23:07:34,0 to 100,2013,1362784054,March
143941,2009-01-05 15:25:45,-73.991074,40.75284600000001,-73.978445,40.753013,1,7.3,2009-01-05,15:25:45,0 to 100,2009,1231169145,Jan
45306,2012-11-21 18:46:00,-73.966267,40.7679,-73.974532,40.746537,1,9.5,2012-11-21,18:46:00,0 to 100,2012,1353523560,Nov
158657,2009-06-23 02:19:55,-73.98576800000002,40.762724,-73.950703,40.771352,1,9.3,2009-06-23,02:19:55,0 to 100,2009,1245723595,Jun
3367,2011-10-05 06:46:00,-73.997867,40.736216999999996,-73.988122,40.741432,2,4.5,2011-10-05,06:46:00,0 to 100,2011,1317797160,Oct
159663,2013-06-20 17:12:49,-73.974554,40.75977,-73.964649,40.772985,1,6.0,2013-06-20,17:12:49,0 to 100,2013,1371748369,Jun
144493,2009-05-22 22:29:00,-73.950227,40.779858000000004,-73.862015,40.752517,5,22.1,2009-05-22,22:29:00,0 to 100,2009,1243031340,May
121579,2010-03-31 01:49:00,-73.977215,40.756677,-73.95339200000002,40.744927000000004,1,9.7,2010-03-31,01:49:00,0 to 100,2010,1270000140,March
60453,2012-01-21 02:22:51,-73.98469300000002,40.715422,-73.984224,40.722305,1,4.1,2012-01-21,02:22:51,0 to 100,2012,1327112571,Jan
32505,2012-11-29 13:47:00,-73.99431,40.726696999999994,-73.94631700000002,40.773072,1,18.5,2012-11-29,13:47:00,0 to 100,2012,1354196820,Nov
180813,2014-02-05 07:46:42,-73.989791,40.75362,-73.98039399999998,40.750394,1,5.0,2014-02-05,07:46:42,0 to 100,2014,1391586402,Feb
43710,2009-12-15 09:11:00,-74.00099300000002,40.7315,-73.983733,40.737982,1,6.5,2009-12-15,09:11:00,0 to 100,2009,1260868260,Dec
39707,2011-11-17 09:55:00,-73.993728,40.745647,-73.993483,40.733112,1,5.3,2011-11-17,09:55:00,0 to 100,2011,1321523700,Nov
122566,2012-09-24 20:09:00,-73.997822,40.756572,-73.979325,40.78197700000001,6,8.5,2012-09-24,20:09:00,0 to 100,2012,1348517340,Sep
75106,2011-09-04 07:50:00,-73.985153,40.760445000000004,-73.989458,40.737542,2,6.9,2011-09-04,07:50:00,0 to 100,2011,1315122600,Sep
71627,2010-11-28 17:02:00,-73.78335,40.648643,-73.84012,40.71679,1,19.3,2010-11-28,17:02:00,0 to 100,2010,1290963720,Nov
132536,2013-09-02 20:41:53,-73.979778,40.739919,-73.997515,40.738539,1,7.0,2013-09-02,20:41:53,0 to 100,2013,1378154513,Sep
176760,2014-08-19 16:04:00,-73.977987,40.758547,-73.98951,40.753257,3,12.0,2014-08-19,16:04:00,0 to 100,2014,1408464240,Aug
152183,2014-04-23 19:39:00,-74.005825,40.740255,-73.990735,40.756017,1,9.5,2014-04-23,19:39:00,0 to 100,2014,1398281940,Apr
35693,2014-11-24 11:32:11,-73.964167,40.807882,-73.998097,40.750888,2,23.5,2014-11-24,11:32:11,0 to 100,2014,1416828731,Nov
46366,2009-05-21 22:34:33,-73.973764,40.754507000000004,-73.989336,40.73164000000001,1,12.5,2009-05-21,22:34:33,0 to 100,2009,1242945273,May
154624,2009-07-17 05:42:41,-73.990124,40.719411,-73.978829,40.736689,1,5.3,2009-07-17,05:42:41,0 to 100,2009,1247809361,Jul
126914,2012-01-16 13:07:23,-74.00686999999998,40.70821,-74.004407,40.721139,1,6.1,2012-01-16,13:07:23,0 to 100,2012,1326719243,Jan
18263,2012-11-25 09:56:00,-73.969435,40.752687,-73.97631,40.758557,1,6.0,2012-11-25,09:56:00,0 to 100,2012,1353837360,Nov
34945,2012-11-21 22:17:00,-73.978995,40.785327,-73.98474499999998,40.769222,1,8.5,2012-11-21,22:17:00,0 to 100,2012,1353536220,Nov
98365,2013-02-25 19:41:17,-73.967855,40.762614,-73.956787,40.768178999999996,2,5.0,2013-02-25,19:41:17,0 to 100,2013,1361821277,Feb
31320,2014-05-16 23:48:27,0.0,0.0,0.0,0.0,1,14.5,2014-05-16,23:48:27,0 to 100,2014,1400284107,May
104559,2010-02-18 14:42:00,-73.991437,40.73852700000001,-73.96043,40.766420000000004,2,10.1,2010-02-18,14:42:00,0 to 100,2010,1266504120,Feb
160004,2010-07-08 17:44:50,-73.963914,40.80818,-73.96732800000002,40.792934,1,6.5,2010-07-08,17:44:50,0 to 100,2010,1278611090,Jul
149707,2010-10-20 21:27:07,-73.86636,40.769769000000004,-73.97457,40.794915,1,28.67,2010-10-20,21:27:07,0 to 100,2010,1287610027,Oct
88968,2009-10-15 09:20:23,-73.97706,40.77675,-73.978243,40.751611,1,12.9,2009-10-15,09:20:23,0 to 100,2009,1255598423,Oct
38856,2010-01-29 19:48:00,-73.87444,40.774063,-73.975137,40.777488,1,27.07,2010-01-29,19:48:00,0 to 100,2010,1264794480,Jan
131668,2011-12-19 20:34:52,0.0,0.0,0.0,0.0,1,7.3,2011-12-19,20:34:52,0 to 100,2011,1324326892,Dec
82560,2013-10-25 11:40:40,-73.953141,40.782753,-73.954876,40.778339,1,5.0,2013-10-25,11:40:40,0 to 100,2013,1382701240,Oct
188790,2012-03-24 07:39:00,-74.005173,40.7198,-73.986525,40.748843,2,7.3,2012-03-24,07:39:00,0 to 100,2012,1332574740,March
94356,2009-01-29 07:14:58,-73.994178,40.751309,-73.97919,40.75173,1,4.9,2009-01-29,07:14:58,0 to 100,2009,1233213298,Jan
177283,2011-01-22 02:52:00,0.0,0.0,0.0,0.0,2,3.7,2011-01-22,02:52:00,0 to 100,2011,1295664720,Jan
57172,2010-04-13 21:00:00,-73.984442,40.760008,-73.960722,40.767315,1,9.3,2010-04-13,21:00:00,0 to 100,2010,1271192400,Apr
